kohde;jasen;tutkk;pkvp;pvknro;T1;tytyy;Vastaaja;sp;IKAL1;PERHEV;ELVAIHE1;TOIMINTA;ISCO3KA_2;TOLA8KA_2;SOSE;TYOAIKA;TKES;YLSIV;KASTE_2;suuralue2;kunry;TIHEYS;ASALUE;KOKO_2;ANSIOLKM_2;HDESI;V46
50162;1;5;1;1;NA;;1;1;6;3;7;2;;;NA;NA;68;3;78;E;3;1.00;2;2;1;6;0
50162;2;5;1;1;1;3;1;2;6;3;7;1;1;7;4;2;NA;1;5;E;3;1.00;2;2;1;6;0
50163;1;12;1;1;1;3;1;2;6;3;7;1;21;8;4;2;NA;2;5;E;1;0.33;1;2;2;9;0
50163;2;12;1;1;1;9;2;1;7;3;7;1;13;4;3;NA;NA;2;3;E;1;0.33;1;2;2;9;0
50164;1;3;1;1;1;3;2;1;5;4;5;1;14;1;4;NA;NA;2;3;E;1;tammi.67;1;4+;2;3;0
50164;2;3;1;1;1;3;1;2;5;4;5;1;16;2;5;2;NA;2;3;E;1;tammi.67;1;4+;2;3;0
50164;3;3;1;1;NA;;1;2;1;1;1;3;;;NA;NA;NA;3;NA;E;1;tammi.67;1;4+;2;3;30
50164;4;3;1;1;NA;;1;1;1;1;1;3;;;NA;NA;NA;3;NA;E;1;tammi.67;1;4+;2;3;0
50165;1;4;7;1;NA;;1;1;8;3;7;5;;;NA;NA;NA;3;NA;A;1;0.67;1;2;0;5;0
50165;2;4;7;1;NA;;1;2;8;3;7;5;;;NA;NA;NA;3;NA;A;1;0.67;1;2;0;5;0
50166;1;8;7;1;4;3;1;1;7;3;7;1;7;2;2;1;NA;1;3;A;1;0.67;1;2;2;6;0
50166;2;8;7;1;1;2;1;2;6;3;7;1;14;1;3;2;NA;1;78;A;1;0.67;1;2;2;6;0
50167;1;8;5;1;1;3;1;1;4;2;2;1;5;12;4;2;NA;1;3;B;1;1.00;1;1;1;1;0
50168;1;10;6;1;1;1;1;2;6;2;8;1;6;4;3;2;NA;1;78;E;1;1.00;1;1;1;10;0
